ID,Category,Sub Category,State Standard
5.W.8,Writing,Research to Build and Present Knowledge,"Recall relevant information from experiences or gather relevant information from print and digital sources; summarize or paraphrase information in notes and finished work, and provide a list of sources."
5.W.9,Writing,Research to Build and Present Knowledge,"Draw evidence from literary or informational texts to support analysis, reflection, and research."
5.W.9.a,Writing,Research to Build and Present Knowledge,"Apply grade 5 Reading standards to literature (e.g., �Compare and contrast two or more characters, settings, or events in a story or a drama, drawing on specific details in the text [e.g., how characters interact]�)."
5.W.9.b,Writing,Research to Build and Present Knowledge,"Apply grade 5 Reading standards to informational texts (e.g., �Explain how an author uses reasons and evidence to support particular points in a text, identifying which reasons and evidence support which point[s]�)."
5.W.10,Writing,Range of Writing,"Write routinely over extended time frames (time for research, reflection, and revision) and shorter time frames (a single sitting or a day or two) for a range of discipline-specific tasks, purposes, and audiences."
K.SL.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about kindergarten topics and texts with peers and adults in small and larger groups.
K.SL.2,Speaking & Listening,Continue a conversation through multiple exchanges.,Confirm understanding of a text read aloud or information presented orally or through other media by asking and answering questions about key details and requesting clarification if something is not understood.
K.SL.3,Speaking & Listening,Continue a conversation through multiple exchanges.,"Ask and answer questions in order to seek help, get information, or clarify something that is not understood."
K.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe familiar people, places, things, and events and, with prompting and support, provide additional detail."
K.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add drawings or other visual displays to descriptions as desired to provide additional detail.
K.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Speak audibly and express thoughts, feelings, and ideas clearly."
1.SL.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 1 topics and texts with peers and adults in small and larger groups.
1.SL.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., listening to others with care, speaking one at a time about the topics and texts under discussion)."
1.SL.1.b,Speaking & Listening,Comprehension and Collaboration,Build on others� talk in conversations by responding to the comments of others through multiple exchanges.
1.SL.1.c,Speaking & Listening,Comprehension and Collaboration,Ask questions to clear up any confusion about the topics and texts under discussion.
1.SL.2,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about key details in a text read aloud or information presented orally or through other media.
1.SL.3,Speaking & Listening,Comprehension and Collaboration,Ask and answer questions about what a speaker says in order to gather additional information or clarify something that is not understood.
1.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Describe people, places, things, and events with relevant details, expressing ideas and feelings clearly."
1.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Add drawings or other visual displays to descriptions when appropriate to clarify ideas, thoughts, and feelings."
1.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation.
2.SL.1,Speaking & Listening,Comprehension and Collaboration,Participate in collaborative conversations with diverse partners about grade 2 topics and texts with peers and adults in small and larger groups.
2.SL.1.a,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
2.SL.1.b,Speaking & Listening,Comprehension and Collaboration,Build on others� talk in conversations by linking their comments to the remarks of others.
2.SL.1.c,Speaking & Listening,Comprehension and Collaboration,Ask for clarification and further explanation as needed about the topics and texts under discussion.
2.SL.2,Speaking & Listening,Comprehension and Collaboration,Recount or describe key ideas or details from a text read aloud or information presented orally or through other media.
2.SL.3,Speaking & Listening,Comprehension and Collaboration,"Ask and answer questions about what a speaker says in order to clarify comprehension, gather additional information, or deepen understanding of a topic or issue."
2.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Tell a story or recount an experience with appropriate facts and relevant, descriptive details, speaking audibly in coherent sentences."
2.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Create audio recordings of stories or poems; add drawings or other visual displays to stories or recounts of experiences when appropriate to clarify ideas, thoughts, and feelings."
2.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,Produce complete sentences when appropriate to task and situation in order to provide requested detail or clarification.
3.SL.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 3 topics and texts, building on others� ideas and expressing their own clearly."
3.SL.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
3.SL.1.b,Speaking & Listening,Comprehension and Collaboration,"Follow agreed-upon rules for discussions (e.g., gaining the floor in respectful ways, listening to others with care, speaking one at a time about the topics and texts under discussion)."
3.SL.1.c,Speaking & Listening,Comprehension and Collaboration,"Ask questions to check understanding of information presented, stay on topic, and link their comments to the remarks of others."
3.SL.1.d,Speaking & Listening,Comprehension and Collaboration,Explain their own ideas and understanding in light of the discussion.
3.SL.2,Speaking & Listening,Comprehension and Collaboration,"Determine the main ideas and supporting details of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
3.SL.3,Speaking & Listening,Comprehension and Collaboration,"Ask and answer questions about information from a speaker, offering appropriate elaboration and detail."
3.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience with appropriate facts and relevant, descriptive details, speaking clearly at an understandable pace."
3.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,Create engaging audio recordings of stories or poems that demonstrate fluid reading at an understandable pace; add visual displays when appropriate to emphasize or enhance certain facts or details.
3.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,Speak in complete sentences when appropriate to task and situation in order to provide requested detail or clarification.
4.SL.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 4 topics and texts, building on others� ideas and expressing their own clearly."
4.SL.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
4.SL.1.b,Speaking & Listening,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.
4.SL.1.c,Speaking & Listening,Comprehension and Collaboration,"Pose and respond to specific questions to clarify or follow up on information, and make comments that contribute to the discussion and link to the remarks of others."
4.SL.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and explain their own ideas and understanding in light of the discussion.
4.SL.2,Speaking & Listening,Comprehension and Collaboration,"Paraphrase portions of a text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
4.SL.3,Speaking & Listening,Comprehension and Collaboration,Identify the reasons and evidence a speaker provides to support particular points.
4.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text, tell a story, or recount an experience in an organized manner, using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
4.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,Add audio recordings and visual displays to presentations when appropriate to enhance the development of main ideas or themes.
4.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion); use formal English when appropriate to task and situation."
5.SL.1,Speaking & Listening,Comprehension and Collaboration,"Engage effectively in a range of collaborative discussions (one-on-one, in groups, and teacher-led) with diverse partners on grade 5 topics and texts, building on others� ideas and expressing their own clearly."
5.SL.1.a,Speaking & Listening,Comprehension and Collaboration,"Come to discussions prepared, having read or studied required material; explicitly draw on that preparation and other information known about the topic to explore ideas under discussion."
5.SL.1.b,Speaking & Listening,Comprehension and Collaboration,Follow agreed-upon rules for discussions and carry out assigned roles.
5.SL.1.c,Speaking & Listening,Comprehension and Collaboration,Pose and respond to specific questions by making comments that contribute to the discussion and elaborate on the remarks of others.
5.SL.1.d,Speaking & Listening,Comprehension and Collaboration,Review the key ideas expressed and draw conclusions in light of information and knowledge gained from the discussions.
5.SL.2,Speaking & Listening,Comprehension and Collaboration,"Summarize a written text read aloud or information presented in diverse media and formats, including visually, quantitatively, and orally."
5.SL.3,Speaking & Listening,Comprehension and Collaboration,Summarize the points a speaker makes and explain how each claim is supported by reasons and evidence.
5.SL.4,Speaking & Listening,Presentation of Knowledge and Ideas,"Report on a topic or text or present an opinion, sequencing ideas logically and using appropriate facts and relevant, descriptive details to support main ideas or themes; speak clearly at an understandable pace."
5.SL.5,Speaking & Listening,Presentation of Knowledge and Ideas,"Include multimedia components (e.g., graphics, sound) and visual displays in presentations when appropriate to enhance the development of main ideas or themes."
5.SL.6,Speaking & Listening,Presentation of Knowledge and Ideas,"Adapt speech to a variety of contexts and tasks, using formal English when appropriate to task and situation."
K.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
K.L.1.a,Language,Conventions of Standard English,Print many upper- and lowercase letters.
K.L.1.b,Language,Conventions of Standard English,Use frequently occurring nouns and verbs.
K.L.1.c,Language,Conventions of Standard English,"Form regular plural nouns orally by adding /s/ or /es/ (e.g., dog, dogs; wish, wishes)."
K.L.1.d,Language,Conventions of Standard English,"Understand and use question words (interrogatives) (e.g., who, what, where, when, why, how)."
K.L.1.e,Language,Conventions of Standard English,"Use the most frequently occurring prepositions (e.g., to, from, in, out, on, off, for, of, by, with)."
K.L.1.f,Language,Conventions of Standard English,Produce and expand complete sentences in shared language activities.
K.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
K.L.2.a,Language,Conventions of Standard English,Capitalize the first word in a sentence and the pronoun I.
K.L.2.b,Language,Conventions of Standard English,Recognize and name end punctuation.
K.L.2.c,Language,Conventions of Standard English,Write a letter or letters for most consonant and short-vowel sounds (phonemes).
K.L.2.d,Language,Conventions of Standard English,"Spell simple words phonetically, drawing on knowledge of sound-letter relationships."
K.L.3,Language,Knowledge of Language,(Begins in grade 2)
K.L.4,Language,Vocabulary Acquisition and Use,Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on kindergarten reading and content.
K.L.4.a,Language,Vocabulary Acquisition and Use,"Identify new meanings for familiar words and apply them accurately (e.g., knowing duck is a bird and learning the verb to duck)."
K.L.4.b,Language,Vocabulary Acquisition and Use,"Use the most frequently occurring inflections and affixes (e.g., -ed, -s, re-, un-, pre-, -ful, -less) as a clue to the meaning of an unknown word."
K.L.5,Language,Vocabulary Acquisition and Use,"With guidance and support from adults, explore word relationships and nuances in word meanings."
K.L.5.a,Language,Vocabulary Acquisition and Use,"Sort common objects into categories (e.g., shapes, foods) to gain a sense of the concepts the categories represent."
K.L.5.b,Language,Vocabulary Acquisition and Use,Demonstrate understanding of frequently occurring verbs and adjectives by relating them to their opposites (antonyms).
K.L.5.c,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at school that are colorful)."
K.L.5.d,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs describing the same general action (e.g., walk, march, strut, prance) by acting out the meanings."
K.L.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts."
1.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
1.L.1.a,Language,Conventions of Standard English,Print all upper- and lowercase letters.
1.L.1.b,Language,Conventions of Standard English,"Use common, proper, and possessive nouns."
1.L.1.c,Language,Conventions of Standard English,"Use singular and plural nouns with matching verbs in basic sentences (e.g., He hops; We hop)."
1.L.1.d,Language,Conventions of Standard English,"Use personal, possessive, and indefinite pronouns (e.g., I, me, my; they, them, their, anyone, everything)."
1.L.1.e,Language,Conventions of Standard English,"Use verbs to convey a sense of past, present, and future (e.g., Yesterday I walked home; Today I walk home; Tomorrow I will walk home)."
1.L.1.f,Language,Conventions of Standard English,Use frequently occurring adjectives.
1.L.1.g,Language,Conventions of Standard English,"Use frequently occurring conjunctions (e.g., and, but, or, so, because)."
1.L.1.h,Language,Conventions of Standard English,"Use determiners (e.g., articles, demonstratives)."
1.L.1.i,Language,Conventions of Standard English,"Use frequently occurring prepositions (e.g., during, beyond, toward)."
1.L.1.j,Language,Conventions of Standard English,"Produce and expand complete simple and compound declarative, interrogative, imperative, and exclamatory sentences in response to prompts."
1.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
1.L.2.a,Language,Conventions of Standard English,Capitalize dates and names of people.
1.L.2.b,Language,Conventions of Standard English,Use end punctuation for sentences.
1.L.2.c,Language,Conventions of Standard English,Use commas in dates and to separate single words in a series.
1.L.2.d,Language,Conventions of Standard English,Use conventional spelling for words with common spelling patterns and for frequently occurring irregular words.
1.L.2.e,Language,Conventions of Standard English,"Spell untaught words phonetically, drawing on phonemic awareness and spelling conventions."
1.L.3,Language,Knowledge of Language,(Begins in grade 2)
1.L.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 1 reading and content, choosing flexibly from an array of strategies."
1.L.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
1.L.4.b,Language,Vocabulary Acquisition and Use,Use frequently occurring affixes as a clue to the meaning of a word.
1.L.4.c,Language,Vocabulary Acquisition and Use,"Identify frequently occurring root words (e.g., look) and their inflectional forms (e.g., looks, looked, looking)."
1.L.5,Language,Vocabulary Acquisition and Use,"With guidance and support from adults, demonstrate understanding of figurative language, word relationships and nuances in word meanings."
1.L.5.a,Language,Vocabulary Acquisition and Use,"Sort words into categories (e.g., colors, clothing) to gain a sense of the concepts the categories represent."
1.L.5.b,Language,Vocabulary Acquisition and Use,"Define words by category and by one or more key attributes (e.g., a duck is a bird that swims; a tiger is a large cat with stripes)."
1.L.5.c,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., note places at home that are cozy)."
1.L.5.d,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among verbs differing in manner (e.g., look, peek, glance, stare, glare, scowl) and adjectives differing in intensity (e.g., large, gigantic) by defining or choosing them or by acting out the meanings."
1.L.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using frequently occurring conjunctions to signal simple relationships (e.g., because)."
2.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
2.L.1.a,Language,Conventions of Standard English,"Use collective nouns (e.g.,�group)."
2.L.1.b,Language,Conventions of Standard English,"Form and use frequently occurring irregular plural nouns (e.g.,�feet, children, teeth, mice, fish)."
2.L.1.c,Language,Conventions of Standard English,"Use reflexive pronouns (e.g.,�myself, ourselves)."
2.L.1.d,Language,Conventions of Standard English,"Form and use the past tense of frequently occurring irregular verbs (e.g.,�sat, hid, told)."
2.L.1.e,Language,Conventions of Standard English,"Use adjectives and adverbs, and choose between them depending on what is to be modified."
2.L.1.f,Language,Conventions of Standard English,"Produce, expand, and rearrange complete simple and compound sentences (e.g.,�The boy watched the movie; The little boy watched the movie; The action movie was watched by the little boy)."
2.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
2.L.2.a,Language,Conventions of Standard English,"Capitalize holidays, product names, and geographic names."
2.L.2.b,Language,Conventions of Standard English,Use commas in greetings and closings of letters.
2.L.2.c,Language,Conventions of Standard English,Use an apostrophe to form contractions and frequently occurring possessives.
2.L.2.d,Language,Conventions of Standard English,"Generalize learned spelling patterns when writing words (e.g.,�cage _ badge; boy _ boil)."
2.L.2.e,Language,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
2.L.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
2.L.3.a,Language,Knowledge of Language,Compare formal and informal uses of English.
2.L.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 2 reading and content, choosing flexibly from an array of strategies."
2.L.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
2.L.4.b,Language,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known prefix is added to a known word (e.g.,�happy/unhappy, tell/retell)."
2.L.4.c,Language,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g.,�addition, additional)."
2.L.4.d,Language,Vocabulary Acquisition and Use,"Use knowledge of the meaning of individual words to predict the meaning of compound words (e.g.,�birdhouse, lighthouse, housefly; bookshelf, notebook, bookmark)."
2.L.4.e,Language,Vocabulary Acquisition and Use,"Use glossaries and beginning dictionaries, both print and digital, to determine or clarify the meaning of words and phrases."
2.L.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
2.L.5.a,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g.,�describe foods that are spicy or juicy)."
2.L.5.b,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among closely related verbs (e.g.,�toss, throw, hurl) and closely related adjectives (e.g.,�thin, slender, skinny, scrawny)."
2.L.6,Language,Vocabulary Acquisition and Use,"Use words and phrases acquired through conversations, reading and being read to, and responding to texts, including using adjectives and adverbs to describe (e.g.,�When other kids are happy that makes me happy)."
3.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
3.L.1.a,Language,Conventions of Standard English,"Explain the function of nouns, pronouns, verbs, adjectives, and adverbs in general and their functions in particular sentences."
3.L.1.b,Language,Conventions of Standard English,Form and use regular and irregular plural nouns.
3.L.1.c,Language,Conventions of Standard English,"Use abstract nouns (e.g., childhood)."
3.L.1.d,Language,Conventions of Standard English,Form and use regular and irregular verbs.
3.L.1.e,Language,Conventions of Standard English,"Form and use the simple (e.g., I walked; I walk; I will walk) verb tenses."
3.L.1.f,Language,Conventions of Standard English,Ensure subject-verb and pronoun-antecedent agreement.*
3.L.1.g,Language,Conventions of Standard English,"Form and use comparative and superlative adjectives and adverbs, and choose between them depending on what is to be modified."
3.L.1.h,Language,Conventions of Standard English,Use coordinating and subordinating conjunctions.
3.L.1.i,Language,Conventions of Standard English,"Produce simple, compound, and complex sentences."
3.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
3.L.2.a,Language,Conventions of Standard English,Capitalize appropriate words in titles.
3.L.2.b,Language,Conventions of Standard English,Use commas in addresses.
3.L.2.c,Language,Conventions of Standard English,Use commas and quotation marks in dialogue.
3.L.2.d,Language,Conventions of Standard English,Form and use possessives.
3.L.2.e,Language,Conventions of Standard English,"Use conventional spelling for high-frequency and other studied words and for adding suffixes to base words (e.g., sitting, smiled, cries, happiness)."
3.L.2.f,Language,Conventions of Standard English,"Use spelling patterns and generalizations (e.g., word families, position-based spellings, syllable patterns, ending rules, meaningful word parts) in writing words."
3.L.2.g,Language,Conventions of Standard English,"Consult reference materials, including beginning dictionaries, as needed to check and correct spellings."
3.L.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
3.L.3.a,Language,Knowledge of Language,Choose words and phrases for effect.*
3.L.3.b,Language,Knowledge of Language,Recognize and observe differences between the conventions of spoken and written standard English.
3.L.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning word and phrases based on grade 3 reading and content, choosing flexibly from a range of strategies."
3.L.4.a,Language,Vocabulary Acquisition and Use,Use sentence-level context as a clue to the meaning of a word or phrase.
3.L.4.b,Language,Vocabulary Acquisition and Use,"Determine the meaning of the new word formed when a known affix is added to a known word (e.g., agreeable/disagreeable, comfortable/uncomfortable, care/careless, heat/preheat)."
3.L.4.c,Language,Vocabulary Acquisition and Use,"Use a known root word as a clue to the meaning of an unknown word with the same root (e.g., company, companion)."
3.L.4.d,Language,Vocabulary Acquisition and Use,"Use glossaries or beginning dictionaries, both print and digital, to determine or clarify the precise meaning of key words and phrases."
3.L.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships and nuances in word meanings."
3.L.5.a,Language,Vocabulary Acquisition and Use,"Distinguish the literal and nonliteral meanings of words and phrases in context (e.g., take steps)."
3.L.5.b,Language,Vocabulary Acquisition and Use,"Identify real-life connections between words and their use (e.g., describe people who are friendly or helpful)."
3.L.5.c,Language,Vocabulary Acquisition and Use,"Distinguish shades of meaning among related words that describe states of mind or degrees of certainty (e.g., knew, believed, suspected, heard, wondered)."
3.L.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate conversational, general academic, and domain-specific words and phrases, including those that signal spatial and temporal relationships (e.g., After dinner that night we went looking for them)."
4.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
4.L.1.a,Language,Conventions of Standard English,"Use relative pronouns (who, whose, whom, which, that) and relative adverbs (where, when, why)."
4.L.1.b,Language,Conventions of Standard English,"Form and use the progressive (e.g., I was walking; I am walking; I will be walking) verb tenses."
4.L.1.c,Language,Conventions of Standard English,"Use modal auxiliaries (e.g., can, may, must) to convey various conditions."
4.L.1.d,Language,Conventions of Standard English,"Order adjectives within sentences according to conventional patterns (e.g., a small red bag rather than a red small bag)."
4.L.1.e,Language,Conventions of Standard English,Form and use prepositional phrases.
4.L.1.f,Language,Conventions of Standard English,"Produce complete sentences, recognizing and correcting inappropriate fragments and run-ons.*"
4.L.1.g,Language,Conventions of Standard English,"Correctly use frequently confused words (e.g., to, too, two; there, their).*"
4.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
4.L.2.a,Language,Conventions of Standard English,Use correct capitalization.
4.L.2.b,Language,Conventions of Standard English,Use commas and quotation marks to mark direct speech and quotations from a text.
4.L.2.c,Language,Conventions of Standard English,Use a comma before a coordinating conjunction in a compound sentence.
4.L.2.d,Language,Conventions of Standard English,"Spell grade-appropriate words correctly, consulting references as needed."
4.L.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
4.L.3.a,Language,Knowledge of Language,Choose words and phrases to convey ideas precisely.*
4.L.3.b,Language,Knowledge of Language,Choose punctuation for effect.*
4.L.3.c,Language,Knowledge of Language,"Differentiate between contexts that call for formal English (e.g., presenting ideas) and situations where informal discourse is appropriate (e.g., small-group discussion)."
4.L.4,Language,Vocabulary Acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 4 reading and content, choosing flexibly from a range of strategies."
4.L.4.a,Language,Vocabulary Acquisition and Use,"Use context (e.g., definitions, examples, or restatements in text) as a clue to the meaning of a word or phrase."
4.L.4.b,Language,Vocabulary Acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., telegraph, photograph, autograph)."
4.L.4.c,Language,Vocabulary Acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
4.L.5,Language,Vocabulary Acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
4.L.5.a,Language,Vocabulary Acquisition and Use,"Explain the meaning of simple similes and metaphors (e.g., as pretty as a picture) in context."
4.L.5.b,Language,Vocabulary Acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs."
4.L.5.c,Language,Vocabulary Acquisition and Use,Demonstrate understanding of words by relating them to their opposites (antonyms) and to words with similar but not identical meanings (synonyms).
4.L.6,Language,Vocabulary Acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal precise actions, emotions, or states of being (e.g., quizzed, whined, stammered) and that are basic to a particular topic (e.g., wildlife, conservation, and endangered when discussing animal preservation)."
5.L.1,Language,Conventions of Standard English,Demonstrate command of the conventions of standard English grammar and usage when writing or speaking.
5.L.2,Language,Conventions of Standard English,"Demonstrate command of the conventions of standard English capitalization, punctuation, and spelling when writing."
5.L.3,Language,Knowledge of Language,"Use knowledge of language and its conventions when writing, speaking, reading, or listening."
5.L.3.a,Language,Knowledge of Language,"Expand, combine, and reduce sentences for meaning, reader/listener interest, and style."
5.L.3.b,Language,Knowledge of Language,"Compare and contrast the varieties of English (e.g., dialects, registers) used in stories, dramas, or poems."
5.L.4,Language,Vocabulary acquisition and Use,"Determine or clarify the meaning of unknown and multiple-meaning words and phrases based on grade 5 reading and content, choosing flexibly from a range of strategies."
5.L.4.a,Language,Vocabulary acquisition and Use,"Use context (e.g., cause/effect relationships and comparisons in text) as a clue to the meaning of a word or phrase."
5.L.4.b,Language,Vocabulary acquisition and Use,"Use common, grade-appropriate Greek and Latin affixes and roots as clues to the meaning of a word (e.g., photograph, photosynthesis)."
5.L.4.c,Language,Vocabulary acquisition and Use,"Consult reference materials (e.g., dictionaries, glossaries, thesauruses), both print and digital, to find the pronunciation and determine or clarify the precise meaning of key words and phrases."
5.L.5,Language,Vocabulary acquisition and Use,"Demonstrate understanding of figurative language, word relationships, and nuances in word meanings."
5.L.5.a,Language,Vocabulary acquisition and Use,"Interpret figurative language, including similes and metaphors, in context."
5.L.5.b,Language,Vocabulary acquisition and Use,"Recognize and explain the meaning of common idioms, adages, and proverbs."
5.L.5.c,Language,Vocabulary acquisition and Use,"Use the relationship between particular words (e.g., synonyms, antonyms, homographs) to better understand each of the words."
5.L.6,Language,Vocabulary acquisition and Use,"Acquire and use accurately grade-appropriate general academic and domain-specific words and phrases, including those that signal contrast, addition, and other logical relationships (e.g., however, although, nevertheless, similarly, moreover, in addition)."
6.RL.1,Reading Literature,Key Ideas and Details,Cite textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
6.RL.2,Reading Literature,Key Ideas and Details,Determine a theme or central idea of a text and how it is conveyed through particular details; provide a summary of the text distinct from personal opinions or judgments.
6.RL.3,Reading Literature,Key Ideas and Details,Describe how a particular story�s or drama�s plot unfolds in a series of episodes as well as how the characters respond or change as the plot moves toward a resolution.
6.RL.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of a specific word choice on meaning and tone."
6.RL.5,Reading Literature,Craft and Structure,"Analyze how a particular sentence, chapter, scene, or stanza fits into the overall structure of a text and contributes to the development of the theme, setting, or plot."
6.RL.6,Reading Literature,Craft and Structure,Explain how an author develops the point of view of the narrator or speaker in a text.
6.RL.7,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast the experience of reading a story, drama, or poem to listening to or viewing an audio, video, or live version of the text, including contrasting what they �see� and �hear� when reading the text to what they perceive when they listen or watch."
6.RL.8,Reading Literature,Integration of Knowledge and Ideas,(Not applicable to literature)
6.RL.9,Reading Literature,Integration of Knowledge and Ideas,"Compare and contrast texts in different forms or genres (e.g., stories and poems; historical novels and fantasy stories) in terms of their approaches to similar themes and topics."
6.RL.10,Reading Literature,Range of Reading and Level of Text Complexity,"By the end of the year, read and comprehend literature, including stories, dramas, and poems, in the grades 6�8 text complexity band proficiently, with scaffolding as needed at the high end of the range."
7.RL.1,Reading Literature,Key Ideas and Details,Cite several pieces of textual evidence to support analysis of what the text says explicitly as well as inferences drawn from the text.
7.RL.2,Reading Literature,Key Ideas and Details,Determine a theme or central idea of a text and analyze its development over the course of the text; provide an objective summary of the text.
7.RL.3,Reading Literature,Key Ideas and Details,"Analyze how particular elements of a story or drama interact (e.g., how setting shapes the characters or plot)."
7.RL.4,Reading Literature,Craft and Structure,"Determine the meaning of words and phrases as they are used in a text, including figurative and connotative meanings; analyze the impact of rhymes and other repetitions of sounds (e.g., alliteration) on a specific verse or stanza of a poem or section of a story or drama."
7.RL.5,Reading Literature,Craft and Structure,"Analyze how a drama�s or poem�s form or structure (e.g., soliloquy, sonnet) contributes to its meaning."
7.RL.6,Reading Literature,Craft and Structure,Analyze how an author develops and contrasts the points of view of different characters or narrators in a text.
